DATE,CPI Lumber,CPI Energy,CPI Housing,CPI Food,CPI Transportation,CPI Apparel,Used Cars and Trucks,New cars/trucks,CPI core
2017-02-01,192.4,203.544,248.69299999999998,248.44299999999998,201.02599999999998,126.01799999999999,137.935,148.993,243.872
2017-03-01,198.6,202.183,248.97799999999998,248.926,200.6,126.60600000000001,136.951,148.543,243.766
2017-04-01,201.7,203.792,249.514,249.28799999999998,201.477,126.49799999999999,138.75,148.457,244.274
2017-05-01,202.5,198.72400000000002,250.37599999999998,249.68599999999998,199.074,125.698,140.076,148.033,244.06900000000002
2017-06-01,200.2,197.74400000000003,251.62900000000002,249.53799999999998,198.363,125.616,138.753,147.262,244.218
2017-07-01,198.6,195.729,251.87,250.032,196.99,125.307,137.528,146.19,244.28
2017-08-01,202.1,201.12099999999998,252.615,250.24900000000002,199.56099999999998,125.339,137.344,145.71200000000002,245.205
2017-09-01,206.2,211.929,252.984,250.678,204.958,125.604,139.38,145.037,246.551
2017-10-01,218.7,208.42700000000002,253.125,250.919,203.299,125.705,137.97299999999998,144.868,246.657
2017-11-01,220.9,214.655,253.17700000000002,251.045,206.09599999999998,124.831,136.955,145.442,247.378
2017-12-01,218.1,213.11900000000003,253.845,251.479,206.062,124.169,138.119,146.52200000000002,247.736
2018-01-01,219.8,217.273,254.857,251.94799999999998,208.49,125.14399999999999,138.471,146.996,248.72099999999998
2018-02-01,227.9,219.765,255.713,251.96099999999998,209.50799999999998,126.205,137.825,146.80700000000002,249.3
2018-03-01,236.5,216.49200000000002,256.388,252.082,208.493,126.887,137.48,146.727,249.517
2018-04-01,236.6,219.424,256.969,252.68599999999998,209.865,127.583,137.493,146.069,250.275
2018-05-01,239.9,220.77,257.907,252.706,210.53099999999998,127.69,137.722,146.349,250.78599999999997
2018-06-01,243.1,221.145,258.71,253.06799999999998,211.31,126.485,137.835,146.562,251.15200000000002
2018-07-01,239.4,219.168,259.268,253.53099999999998,210.875,125.57,138.68,146.526,251.345
2018-08-01,230.5,221.763,259.884,253.81400000000002,211.89,123.523,139.064,146.149,251.735
2018-09-01,230.1,222.392,259.941,254.201,212.481,124.885,137.336,145.715,252.183
2018-10-01,229.0,226.735,260.268,254.06400000000002,214.37400000000002,125.23200000000001,138.565,145.588,252.899
2018-11-01,217.4,221.303,260.473,254.68599999999998,212.19400000000002,124.601,140.111,145.826,252.822
2018-12-01,212.5,212.43599999999998,261.36,255.52900000000002,207.592,124.147,140.099,146.126,252.493
2019-01-01,211.9,206.324,262.284,256.07599999999996,205.292,125.11200000000001,140.747,147.059,252.44099999999997
2019-02-01,212.8,208.33599999999998,263.057,256.916,205.93400000000003,124.97399999999999,139.359,147.226,252.96900000000002
2019-03-01,212.6,215.562,263.88599999999997,257.285,209.484,123.99799999999999,138.09,147.78799999999998,254.14700000000002
2019-04-01,213.1,222.97400000000002,264.452,257.026,213.46099999999998,124.01,138.56799999999998,147.84,255.326
2019-05-01,208.3,219.84799999999998,265.137,257.57099999999997,212.049,124.039,138.101,147.659,255.37099999999998
2019-06-01,203.9,213.979,266.461,257.707,210.172,124.969,139.55200000000002,147.417,255.423
2019-07-01,199.5,214.95,267.101,257.998,210.37099999999998,124.81299999999999,140.719,147.035,255.925
2019-08-01,194.7,212.267,267.263,258.158,209.358,124.666,141.94799999999998,146.45600000000002,256.118
2019-09-01,193.6,212.05200000000002,267.822,258.74,209.484,124.385,140.907,145.85399999999998,256.532
2019-10-01,194.6,217.18599999999998,267.79400000000004,259.216,211.417,122.43700000000001,140.543,145.726,257.387
2019-11-01,194.4,219.77,267.925,259.598,211.94099999999997,122.84299999999999,139.489,145.72799999999998,257.98900000000003
2019-12-01,194.9,219.718,268.236,259.97,211.52200000000002,122.602,139.126,146.22,258.203
2020-01-01,194.7,219.11700000000002,269.468,260.579,211.171,123.344,137.958,147.253,258.687
2020-02-01,196.4,213.963,270.281,261.41200000000003,209.356,123.70100000000001,137.588,147.803,258.824
2020-03-01,204.4,202.995,270.27299999999997,262.132,204.231,121.943,138.24200000000002,147.124,257.98900000000003
2020-04-01,202.0,183.78799999999998,270.184,265.702,193.146,117.071,137.532,147.007,256.192
2020-05-01,197.8,179.61,270.823,267.473,189.234,114.42299999999999,137.592,147.222,255.942
2020-06-01,210.7,187.59099999999998,271.83099999999996,268.841,193.59,115.99600000000001,135.795,147.108,257.282
2020-07-01,228.7,191.56599999999997,272.445,268.047,198.403,116.78200000000001,139.541,147.803,258.60400000000004
2020-08-01,254.3,193.362,272.866,268.373,200.73,117.223,147.556,147.412,259.51099999999997
2020-09-01,278.3,195.995,273.116,268.621,203.173,116.788,155.33700000000002,147.361,260.149
2020-10-01,269.9,197.157,273.014,269.164,204.102,115.757,156.658,147.95600000000002,260.462
2020-11-01,259.2,198.576,273.29,269.15,204.638,116.52799999999999,154.495,148.063,260.927
2020-12-01,254.8,203.71599999999998,273.684,270.015,206.118,117.57700000000001,153.107,149.091,261.56
2021-01-01,276.5,210.822,274.336,270.212,208.28900000000002,120.178,151.743,149.377,262.231
2021-02-01,296.8,218.946,275.137,270.60400000000004,210.676,119.287,150.37,149.515,263.161
2021-03-01,326.7,229.886,276.028,270.94599999999997,216.332,118.949,151.197,149.321,264.793
2021-04-01,370.8,229.658,277.258,271.933,221.826,119.335,166.37400000000002,149.892,266.832
2021-05-01,417.0,229.63,278.64799999999997,273.122,226.53799999999998,120.79299999999999,178.505,152.143,268.551
2021-06-01,471.3,232.995,280.366,275.183,234.727,121.63600000000001,197.227,154.847,270.981
2021-07-01,427.656,236.796,281.60400000000004,277.091,236.252,121.68700000000001,197.66,157.203,272.265
2021-08-01,327.418,241.47400000000002,282.39099999999996,278.177,235.997,122.14200000000001,194.622,158.65200000000002,273.012
