DATE,TIPS 5-Year,TIPS 10-Year,TIPS 20-Year,TIPS 30-Year
2016-01-20,0.34,0.69,1.07,1.29
2016-01-21,0.36,0.74,1.11,1.31
2016-01-22,0.34,0.72,1.1,1.29
2016-01-25,0.32,0.69,1.07,1.27
2016-01-26,0.28,0.65,1.03,1.25
2016-01-27,0.25,0.62,1.01,1.23
2016-01-28,0.2,0.58,0.99,1.21
2016-01-29,0.14,0.53,0.95,1.17
2016-02-01,0.18,0.57,0.97,1.19
2016-02-02,0.14,0.51,0.91,1.12
2016-02-03,0.11,0.5,0.9,1.1
2016-02-04,0.12,0.51,0.91,1.11
2016-02-05,0.18,0.53,0.91,1.13
2016-02-08,0.19,0.52,0.88,1.09
2016-02-09,0.22,0.53,0.89,1.1
2016-02-10,0.2,0.5,0.85,1.06
2016-02-11,0.17,0.45,0.81,1.03
2016-02-12,0.17,0.49,0.87,1.1
2016-02-16,0.2,0.53,0.92,1.16
2016-02-17,0.22,0.53,0.93,1.18
2016-02-18,0.19,0.51,0.87,1.13
2016-02-19,0.18,0.5,0.86,1.11
2016-02-22,0.14,0.46,0.83,1.08
2016-02-23,0.1,0.42,0.8,1.05
2016-02-24,0.06,0.39,0.78,1.04
2016-02-25,-0.02,0.32,0.72,1.0
2016-02-26,0.03,0.35,0.75,1.04
2016-02-29,-0.01,0.32,0.72,1.0
2016-03-01,0.02,0.35,0.75,1.04
2016-03-02,0.0,0.33,0.73,1.0
2016-03-03,-0.03,0.3,0.7,0.97
2016-03-04,0.02,0.37,0.76,1.02
2016-03-07,0.06,0.43,0.81,1.06
2016-03-08,0.01,0.37,0.75,1.01
2016-03-09,0.02,0.39,0.79,1.05
2016-03-10,0.1,0.45,0.82,1.06
2016-03-11,0.08,0.44,0.83,1.09
2016-03-14,0.11,0.45,0.83,1.09
2016-03-15,0.15,0.47,0.85,1.11
2016-03-16,-0.04,0.36,0.78,1.05
2016-03-17,-0.07,0.34,0.74,1.0
2016-03-18,-0.13,0.27,0.68,0.94
2016-03-21,-0.12,0.28,0.68,0.95
2016-03-22,-0.06,0.31,0.7,0.95
2016-03-23,-0.07,0.3,0.67,0.91
2016-03-24,-0.03,0.34,0.71,0.95
2016-03-28,-0.03,0.33,0.7,0.94
2016-03-29,-0.18,0.2,0.59,0.84
2016-03-30,-0.26,0.18,0.6,0.86
2016-03-31,-0.28,0.16,0.57,0.83
2016-04-01,-0.25,0.17,0.58,0.83
2016-04-04,-0.26,0.14,0.55,0.81
2016-04-05,-0.26,0.14,0.54,0.79
