DATE,CPIAUCSL
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.00099999999998
2015-06-01,237.657
2015-07-01,238.03400000000002
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.65200000000002
2016-02-01,237.33599999999998
2016-03-01,238.08
2016-04-01,238.99200000000002
2016-05-01,239.55700000000002
2016-06-01,240.222
2016-07-01,240.101
2016-08-01,240.545
2016-09-01,241.176
2016-10-01,241.74099999999999
2016-11-01,242.02599999999998
2016-12-01,242.637
2017-01-01,243.62
2017-02-01,243.872
2017-03-01,243.766
2017-04-01,244.274
2017-05-01,244.06900000000002
2017-06-01,244.218
2017-07-01,244.28
2017-08-01,245.205
2017-09-01,246.551
2017-10-01,246.657
2017-11-01,247.378
2017-12-01,247.736
2018-01-01,248.72099999999998
2018-02-01,249.3
2018-03-01,249.517
2018-04-01,250.275
2018-05-01,250.78599999999997
2018-06-01,251.15200000000002
2018-07-01,251.345
2018-08-01,251.735
2018-09-01,252.183
2018-10-01,252.899
2018-11-01,252.822
2018-12-01,252.493
2019-01-01,252.44099999999997
2019-02-01,252.96900000000002
2019-03-01,254.14700000000002
2019-04-01,255.326
2019-05-01,255.37099999999998
2019-06-01,255.423
2019-07-01,255.925
2019-08-01,256.118
2019-09-01,256.532
2019-10-01,257.387
2019-11-01,257.98900000000003
2019-12-01,258.203
2020-01-01,258.687
2020-02-01,258.824
2020-03-01,257.98900000000003
2020-04-01,256.192
2020-05-01,255.942
2020-06-01,257.282
2020-07-01,258.60400000000004
2020-08-01,259.51099999999997
2020-09-01,260.149
2020-10-01,260.462
2020-11-01,260.927
2020-12-01,261.56
2021-01-01,262.231
2021-02-01,263.161
2021-03-01,264.793
2021-04-01,266.832
2021-05-01,268.551
2021-06-01,270.981
2021-07-01,272.265
2021-08-01,273.012
2021-09-01,274.138
2021-10-01,276.724
2021-11-01,278.88
2021-12-01,280.192
