DATE,10Y Treasury,10Y TIPS
2016-01-22,2.07,0.72
2016-01-25,2.03,0.69
2016-01-26,2.01,0.65
2016-01-27,2.02,0.62
2016-01-28,2.0,0.58
2016-01-29,1.94,0.53
2016-02-01,1.97,0.57
2016-02-02,1.87,0.51
2016-02-03,1.88,0.5
2016-02-04,1.87,0.51
2016-02-05,1.86,0.53
2016-02-08,1.75,0.52
2016-02-09,1.74,0.53
2016-02-10,1.71,0.5
2016-02-11,1.63,0.45
2016-02-12,1.74,0.49
2016-02-16,1.78,0.53
2016-02-17,1.81,0.53
2016-02-18,1.75,0.51
2016-02-19,1.76,0.5
2016-02-22,1.77,0.46
2016-02-23,1.74,0.42
2016-02-24,1.75,0.39
2016-02-25,1.71,0.32
2016-02-26,1.76,0.35
2016-02-29,1.74,0.32
2016-03-01,1.83,0.35
2016-03-02,1.84,0.33
2016-03-03,1.83,0.3
2016-03-04,1.88,0.37
2016-03-07,1.91,0.43
2016-03-08,1.83,0.37
2016-03-09,1.9,0.39
2016-03-10,1.93,0.45
2016-03-11,1.98,0.44
2016-03-14,1.97,0.45
2016-03-15,1.97,0.47
2016-03-16,1.94,0.36
2016-03-17,1.91,0.34
2016-03-18,1.88,0.27
2016-03-21,1.92,0.28
2016-03-22,1.94,0.31
2016-03-23,1.88,0.3
2016-03-24,1.91,0.34
2016-03-28,1.89,0.33
2016-03-29,1.81,0.2
2016-03-30,1.83,0.18
2016-03-31,1.78,0.16
2016-04-01,1.79,0.17
2016-04-04,1.78,0.14
2016-04-05,1.73,0.14
2016-04-06,1.76,0.17
2016-04-07,1.7,0.12
2016-04-08,1.72,0.14
2016-04-11,1.73,0.17
2016-04-12,1.79,0.22
2016-04-13,1.77,0.21
2016-04-14,1.8,0.24
2016-04-15,1.76,0.2
2016-04-18,1.78,0.21
2016-04-19,1.79,0.19
2016-04-20,1.85,0.23
2016-04-21,1.88,0.24
2016-04-22,1.89,0.25
2016-04-25,1.91,0.26
2016-04-26,1.94,0.27
2016-04-27,1.87,0.19
2016-04-28,1.84,0.12
2016-04-29,1.83,0.12
2016-05-02,1.88,0.2
2016-05-03,1.81,0.17
2016-05-04,1.79,0.16
2016-05-05,1.76,0.13
2016-05-06,1.79,0.18
2016-05-09,1.77,0.18
2016-05-10,1.77,0.15
2016-05-11,1.73,0.14
2016-05-12,1.75,0.15
2016-05-13,1.71,0.13
2016-05-16,1.75,0.15
2016-05-17,1.76,0.15
2016-05-18,1.87,0.26
2016-05-19,1.85,0.29
2016-05-20,1.85,0.29
2016-05-23,1.84,0.3
2016-05-24,1.86,0.31
2016-05-25,1.87,0.29
2016-05-26,1.83,0.25
2016-05-27,1.85,0.27
2016-05-31,1.84,0.3
2016-06-01,1.85,0.31
2016-06-02,1.81,0.27
2016-06-03,1.71,0.19
2016-06-06,1.73,0.19
2016-06-07,1.72,0.15
2016-06-08,1.71,0.12
2016-06-09,1.68,0.12
2016-06-10,1.64,0.12
2016-06-13,1.62,0.15
2016-06-14,1.62,0.17
2016-06-15,1.6,0.13
2016-06-16,1.57,0.15
2016-06-17,1.62,0.2
2016-06-20,1.67,0.24
2016-06-21,1.71,0.28
2016-06-22,1.69,0.25
2016-06-23,1.74,0.24
2016-06-24,1.57,0.15
2016-06-27,1.46,0.12
2016-06-28,1.46,0.09
2016-06-29,1.5,0.1
2016-06-30,1.49,0.09
2016-07-01,1.46,0.03
2016-07-05,1.37,-0.03
2016-07-06,1.38,-0.05
2016-07-07,1.4,-0.03
2016-07-08,1.37,-0.06
2016-07-11,1.43,0.01
2016-07-12,1.53,0.07
2016-07-13,1.48,0.03
2016-07-14,1.53,0.08
2016-07-15,1.6,0.11
2016-07-18,1.59,0.1
2016-07-19,1.56,0.12
2016-07-20,1.59,0.13
2016-07-21,1.57,0.05
2016-07-22,1.57,0.06
2016-07-25,1.58,0.08
2016-07-26,1.57,0.07
2016-07-27,1.52,0.03
2016-07-28,1.52,0.0
2016-07-29,1.46,-0.03
2016-08-01,1.51,0.05
2016-08-02,1.55,0.11
2016-08-03,1.55,0.09
2016-08-04,1.51,0.04
2016-08-05,1.59,0.09
2016-08-08,1.59,0.08
2016-08-09,1.55,0.06
2016-08-10,1.5,0.06
2016-08-11,1.57,0.1
2016-08-12,1.51,0.07
2016-08-15,1.55,0.1
2016-08-16,1.57,0.13
2016-08-17,1.56,0.09
2016-08-18,1.53,0.06
2016-08-19,1.58,0.1
2016-08-22,1.55,0.08
2016-08-23,1.55,0.07
2016-08-24,1.56,0.08
2016-08-25,1.58,0.09
