Date,Value
2000-12-31,1.77
2001-03-31,1.54
2001-06-30,1.64
2001-09-30,1.41
2001-12-31,1.56
2002-03-31,1.6
2002-06-30,1.39
2002-09-30,1.17
2002-12-31,1.3
2003-03-31,1.25
2003-06-30,1.42
2003-09-30,1.43
2003-12-31,1.56
2004-03-31,1.55
2004-06-30,1.54
2004-09-30,1.47
2004-12-31,1.54
2005-03-31,1.46
2005-06-30,1.44
2005-09-30,1.44
2005-12-31,1.43
2006-03-31,1.44
2006-06-30,1.38
2006-09-30,1.43
2006-12-31,1.49
2007-03-31,1.47
2007-06-30,1.52
2007-09-30,1.52
2007-12-31,1.43
2008-03-31,1.26
2008-06-30,1.19
2008-09-30,1.08
2008-12-31,0.87
2009-03-31,0.8
2009-06-30,0.97
2009-09-30,1.17
2009-12-31,1.23
2010-03-31,1.27
2010-06-30,1.11
2010-09-30,1.21
2010-12-31,1.31
2011-03-31,1.35
2011-06-30,1.31
2011-09-30,1.1
2011-12-31,1.19
2012-03-31,1.32
2012-06-30,1.27
2012-09-30,1.34
2012-12-31,1.31
2013-03-31,1.43
2013-06-30,1.45
2013-09-30,1.51
2013-12-31,1.66
2014-03-31,1.66
2014-06-30,1.72
2014-09-30,1.71
2014-12-31,1.77
2015-03-31,1.79
2015-06-30,1.8
2015-09-30,1.69
2015-12-31,1.81
2016-03-31,1.83
2016-06-30,1.86
2016-09-30,1.9
2016-12-31,1.95
2017-03-31,2.02
2017-06-30,2.04
2017-09-30,2.09
2017-12-31,2.17
2018-03-31,2.1
2018-06-30,2.1
2018-09-30,2.2
2018-12-31,1.87
2019-03-31,2.08
2019-05-31,2.05
2019-06-30,2.13
2019-09-30,2.14
2019-11-30,2.25
2019-12-31,2.28
2020-01-31,2.32
2020-02-29,2.12
2020-03-31,1.83
2020-04-30,2.06
2020-05-31,2.0
2020-06-30,2.26
2020-07-31,2.32
2020-08-31,2.48
2020-09-30,2.47
2020-10-31,2.4
2020-11-30,2.64
2020-12-31,2.76
2021-02-28,2.77
2021-03-31,2.85
2021-04-30,3.07
2021-06-30,2.94
2021-07-31,3.17
2021-08-31,3.24
2021-09-30,2.94
2021-10-31,3.13
2021-11-30,3.12
2021-12-31,3.26
