Date,Value
2001-12-31,-1.18
2002-03-31,-4.43
2002-06-30,-5.07
2002-09-30,-5.56
2002-12-31,-8.45
2003-03-31,-5.49
2003-06-30,-3.64
2003-09-30,0.02
2003-12-31,5.37
2004-03-31,7.12
2004-06-30,8.04
2004-09-30,8.45
2004-12-31,10.88
2005-03-31,11.01
2005-06-30,11.99
2005-09-30,12.56
2005-12-31,10.93
2006-03-31,11.29
2006-06-30,10.85
2006-09-30,9.96
2006-12-31,8.94
2007-03-31,7.48
2007-06-30,7.43
2007-09-30,7.29
2007-12-31,7.62
2008-03-31,8.61
2008-06-30,8.63
2008-09-30,7.49
2008-12-31,1.7
2009-03-31,-4.75
2009-06-30,-11.95
2009-09-30,-16.46
2009-12-31,-12.86
2010-03-31,-7.97
2010-06-30,-1.14
2010-09-30,4.81
2010-12-31,5.98
2011-03-31,6.77
2011-06-30,8.07
2011-09-30,9.19
2011-12-31,9.36
2012-03-31,8.97
2012-06-30,6.57
2012-09-30,4.27
2012-12-31,3.76
2013-03-31,2.48
2013-06-30,2.88
2013-09-30,3.56
2013-12-31,2.24
2014-03-31,2.75
2014-06-30,3.28
2014-09-30,3.54
2014-12-31,4.16
2015-03-31,2.71
2015-06-30,0.38
2015-09-30,-1.62
2015-12-31,-3.11
2016-03-31,-2.47
2016-06-30,-1.25
2016-09-30,0.2
2016-12-31,2.09
2017-03-31,3.68
2017-06-30,4.83
2017-09-30,5.68
2017-12-31,7.03
2018-03-31,7.68
2018-06-30,9.03
2018-09-30,10.21
2018-12-31,9.05
2019-03-31,8.12
2019-06-30,6.64
2019-09-30,5.02
2019-12-31,5.36
2020-03-31,3.47
2020-06-30,-0.46
2020-09-30,-2.04
2020-12-31,-3.72
2021-03-31,-1.06
2021-06-30,6.58
