Emittententicker,Name,Sektor,Gewichtung,Boerse
AAPL,APPLE INC,IT,6.91,NASDAQ
MSFT,MICROSOFT CORP,IT,6.31,NASDAQ
AMZN,AMAZON COM INC,Zyklische Konsumgüter ,3.82,NASDAQ
GOOGL,ALPHABET INC CLASS A,Kommunikation,2.24,NASDAQ
GOOG,ALPHABET INC CLASS C,Kommunikation,2.1,NASDAQ
TSLA,TESLA INC,Zyklische Konsumgüter ,2.05,NASDAQ
FB,META PLATFORMS INC CLASS A,Kommunikation,1.98,NASDAQ
NVDA,NVIDIA CORP,IT,1.91,NASDAQ
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.33,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Financials,1.21,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Gesundheitsversorgung,1.12,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Zyklische Konsumgüter ,1.1,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Gesundheitsversorgung,1.1,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Nichtzyklische Konsumgüter,0.94,New York Stock Exchange Inc.
V,VISA INC CLASS A,IT,0.9,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Financials,0.83,New York Stock Exchange Inc.
ADBE,ADOBE INC,IT,0.76,NASDAQ
MA,MASTERCARD INC CLASS A,IT,0.76,New York Stock Exchange Inc.
PFE,PFIZER INC,Gesundheitsversorgung,0.73,New York Stock Exchange Inc.
DIS,WALT DISNEY,Kommunikation,0.7,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Kommunikation,0.68,NASDAQ
XOM,EXXON MOBIL CORP,Energie,0.67,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,IT,0.65,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Gesundheitsversorgung,0.63,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,IT,0.61,NASDAQ
AVGO,BROADCOM INC,IT,0.6,NASDAQ
ACN,ACCENTURE PLC CLASS A,IT,0.59,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Gesundheitsversorgung,0.59,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Nichtzyklische Konsumgüter,0.58,NASDAQ
PEP,PEPSICO INC,Nichtzyklische Konsumgüter,0.58,NASDAQ
CVX,CHEVRON CORP,Energie,0.58,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,IT,0.57,NASDAQ
ABBV,ABBVIE INC,Gesundheitsversorgung,0.55,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Kommunikation,0.55,NASDAQ
NKE,NIKE INC CLASS B,Zyklische Konsumgüter ,0.54,New York Stock Exchange Inc.
KO,COCA-COLA,Nichtzyklische Konsumgüter,0.54,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Kommunikation,0.52,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,IT,0.52,NASDAQ
INTC,INTEL CORPORATION CORP,IT,0.52,NASDAQ
WFC,WELLS FARGO,Financials,0.51,New York Stock Exchange Inc.
DHR,DANAHER CORP,Gesundheitsversorgung,0.51,New York Stock Exchange Inc.
WMT,WALMART INC,Nichtzyklische Konsumgüter,0.5,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Zyklische Konsumgüter ,0.49,New York Stock Exchange Inc.
LLY,ELI LILLY,Gesundheitsversorgung,0.49,New York Stock Exchange Inc.
INTU,INTUIT INC,IT,0.47,NASDAQ
MRK,MERCK & CO INC,Gesundheitsversorgung,0.47,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Zyklische Konsumgüter ,0.46,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,IT,0.45,NASDAQ
NEE,NEXTERA ENERGY INC,Versorger,0.44,New York Stock Exchange Inc.
LIN,LINDE PLC,Materialien,0.43,New York Stock Exchange Inc.
AMD,ADVANCED MICRO DEVICES INC,IT,0.42,NASDAQ
T,AT&T INC,Kommunikation,0.41,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Industrie,0.41,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Gesundheitsversorgung,0.38,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrie,0.38,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Financials,0.37,New York Stock Exchange Inc.
ORCL,ORACLE CORP,IT,0.37,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Industrie,0.36,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Nichtzyklische Konsumgüter,0.35,New York Stock Exchange Inc.
AMAT,APPLIED MATERIAL INC,IT,0.35,NASDAQ
SBUX,STARBUCKS CORP,Zyklische Konsumgüter ,0.34,NASDAQ
GS,GOLDMAN SACHS GROUP INC,Financials,0.34,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Financials,0.33,New York Stock Exchange Inc.
RTX,RAYTHEON TECHNOLOGIES CORP,Industrie,0.33,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Gesundheitsversorgung,0.32,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Gesundheitsversorgung,0.32,New York Stock Exchange Inc.
NOW,SERVICENOW INC,IT,0.32,New York Stock Exchange Inc.
C,CITIGROUP INC,Financials,0.32,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Immobilien,0.31,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Gesundheitsversorgung,0.31,NASDAQ
SCHW,CHARLES SCHWAB CORP,Financials,0.31,New York Stock Exchange Inc.
AMGN,AMGEN INC,Gesundheitsversorgung,0.3,NASDAQ
TGT,TARGET CORP,Zyklische Konsumgüter ,0.3,New York Stock Exchange Inc.
PLD,PROLOGIS REIT INC,Immobilien,0.29,New York Stock Exchange Inc.
BA,BOEING,Industrie,0.29,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Financials,0.28,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Industrie,0.28,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,IT,0.28,New York Stock Exchange Inc.
ZTS,ZOETIS INC CLASS A,Gesundheitsversorgung,0.28,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Financials,0.27,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Industrie,0.27,New York Stock Exchange Inc.
DE,DEERE,Industrie,0.26,New York Stock Exchange Inc.
ANTM,ANTHEM INC,Gesundheitsversorgung,0.26,New York Stock Exchange Inc.
MMM,3M,Industrie,0.26,New York Stock Exchange Inc.
LRCX,LAM RESEARCH CORP,IT,0.25,NASDAQ
ADI,ANALOG DEVICES INC,IT,0.25,NASDAQ
ADP,AUTOMATIC DATA PROCESSING INC,IT,0.25,NASDAQ
COP,CONOCOPHILLIPS,Energie,0.24,New York Stock Exchange Inc.
MRNA,MODERNA INC,Gesundheitsversorgung,0.24,NASDAQ
MU,MICRON TECHNOLOGY INC,IT,0.24,NASDAQ
BKNG,BOOKING HOLDINGS INC,Zyklische Konsumgüter ,0.23,NASDAQ
TJX,TJX INC,Zyklische Konsumgüter ,0.23,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Gesundheitsversorgung,0.22,NASDAQ
SYK,STRYKER CORP,Gesundheitsversorgung,0.22,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Financials,0.22,New York Stock Exchange Inc.
GM,GENERAL MOTORS,Zyklische Konsumgüter ,0.22,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.21,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Nichtzyklische Konsumgüter,0.21,NASDAQ
LMT,LOCKHEED MARTIN CORP,Industrie,0.21,New York Stock Exchange Inc.
CB,CHUBB LTD,Financials,0.21,New York Stock Exchange Inc.
SHW,SHERWIN WILLIAMS,Materialien,0.21,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Nichtzyklische Konsumgüter,0.21,New York Stock Exchange Inc.
CSX,CSX CORP,Industrie,0.21,NASDAQ
MO,ALTRIA GROUP INC,Nichtzyklische Konsumgüter,0.21,New York Stock Exchange Inc.
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Immobilien,0.21,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Financials,0.21,NASDAQ
TFC,TRUIST FINANCIAL CORP,Financials,0.2,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Kommunikation,0.2,NASDAQ
DUK,DUKE ENERGY CORP,Versorger,0.19,New York Stock Exchange Inc.
USB,US BANCORP,Financials,0.19,New York Stock Exchange Inc.
